वाह!	Wow!
पागल मत बनो।	Don't be absurd.
वह भागते हुए आया।	He came running.
वह बीमार नहीं हो सकता।	He can't be ill.
उसने टोपी पहनी हुई है।	He has a hat on.
वह अरबी पढ़ सकता है।	He reads Arabic.
यह मेरा पति है।	He's my husband.
सब लोग कैसे हैं?	How is everyone?
कैसा चल रहा है?	How is it going?
तुम कितने साल के हो?	How old are you?
कितने बदतमीज़ हो तुम!	How rude of you!
बदतमीज़!	How rude of you!
मैंने रात का खाना पकाया।	I cooked dinner.
मुझे उल्टी आ रही है।	I feel nauseous.
मैं हर साल जाता हूँ।	I go every year.
मुझे कोई आवाज़ सुनाई दी।	I heard a noise.
मुझे यह वाला पसंद है।	I like this one.
मैं रोज़ दौड़ने जाता हूँ।	I run every day.
मैंने उसे फिरसे देखा।	I saw her again.
मुझे गिटार चाहिए।	I want a guitar.
मुझपर हमला किया गया।	I was assaulted.
मैं अच्छा रसोइया हूँ।	I'm a good cook.
मैं अच्छा बावर्ची हूँ।	I'm a good cook.
आज मेरा नसीब अच्छा है।	I'm lucky today.
कोई है क्या?	Is anybody here?
क्या यह काला नहीं है?	Is it not black?
यहाँ कैफ़े है क्या?	Is there a cafe?
चलो पतंग उड़ाएँ!	Let's fly kites.
नहीं, मैं नहीं गया था।	No, I didn't go.
आसपास कोई नहीं है।	Nobody's around.
बस अब रोना बंद करो।	Now stop crying.
अपना मूँह खोलो!	Open your mouth!
बैठिए।	Please sit down.
वह तो हसीना है।	She is a beauty.
वह बहुत बोलती है।	She talks a lot.
वह बहुत बक-बक करती है।	She talks a lot.
यह तो ठीक नहीं है।	That isn't fair.
वह मेरी गलती है।	That's my fault.
कुत्ता मेरा है।	The dog is mine.
बिजली गई हुई है।	The power's out.
ये चिड़ियाँ हैं।	These are birds.
यह तुम्हारे लिए है।	This is for you.
हमे किसी भी चीज़ की कमी नहीं है।	We lack nothing.
अभी कितने बजे हैं?	What time is it?
अभी क्या समय हो रहा है?	What time is it?
मेरी किताब कहाँ है?	Where's my book?
तुमने मुझे डरा दिया!	You startled me!
तुम इनसान हो।	You're a person.
आप डॉक्टर हैं क्या?	Are you a doctor?
क्या तुम मुझे सिखा सकते हो?	Can you teach me?
ऊपर तक चढ़ जाओ।	Climb to the top.
आओ हमारे साथ बैठो।	Come and join us.
आओ हमारे साथ बैठो।	Come sit with us.
आलूओं को काटो।	Cut the potatoes.
तुम्हारे पास चावल है क्या?	Do you have rice?
मूँह मत बनाओ।	Don't make faces.
शोर मत मचाओ।	Don't make noise.
मज़े करो।	Have a good time.
मज़े करो।	Have a nice time.
उसके पैर लम्बे हैं।	He has long legs.
वह उसका दोस्त है।	He is her friend.
उसे संत्रे अच्छे लगते हैं।	He likes oranges.
उसे नारंगी अच्छे लगते हैं।	He likes oranges.
वह तुमसे प्यार करता होगा।	He must love you.
वह अरबी बोलता है।	He speaks Arabic.
यह लो, तुम्हारा बस्ता।	Here is your bag.
मुझे याद नहीं।	I can't remember.
मैं उसे नहीं जानता।	I don't know him.
मैं मुश्किल में हूँ।	I have a problem.
मुझे अभी जाना है।	I have to go now.
मैं आस-पड़ोस में रहता हूँ।	I live near here.
मैं अपनी माँ से प्यार करता हूँ	I love my mother.
मुझे अब जाना होगा।	I must leave now.
मैं बहुत थक गया हूँ।	I'm really tired.
मुझे बहुत प्यास लगी है।	I'm very thirsty.
आज एक अप्रैल है।	It's April first.
अब मेरी बारी है।	It's now my turn.
मै फिर से कोशिश करता हूँ।	Let me try again.
आपसे मिलकर खुशी हुई।	Nice to meet you.
मेरे साथ आईए।	Please follow me.
यहाँ अपना हस्ताक्षर कीजिए।	Please sign here.
उसने तुम्हें धोखा दिया।	She betrayed you.
बैठिए।	Sit down, please.
गाड़ी तैयार है।	The car is ready.
यह तुम्हारा कुत्ता है।	This is your dog.
यह आपकी चाबी है।	This is your key.
यह सही नहीं है।	This isn't right.
टॉम मेरा दोस्त है।	Tom is my friend.
हम घर जा रहें हैं।	We're going home.
हम जल्दी में हैं।	We're in a hurry.
जापान में आपका स्वागत है।	Welcome to Japan.
तुम्हारी उम्र क्या है?	What is your age?
वह कौनसी चिड़िया है?	What's that bird?
क्या कहानी है?	What's the story?
आपका नाम क्या है?	What's your name?
तुम कहाँ गए थे?	Where did you go?
शराबख़ाना कहाँ है?	Where is the bar?
किसकी बारी है?	Whose turn is it?
तुम शायद सही हो।	You may be right.
तुम्हारी आँखे खराब हैं क्या?	Are your eyes bad?
पक्षी घोसले बनातें हैं।	Birds build nests.
चिड़ियाँ घोसले बनातीं हैं।	Birds build nests.
लड़के तो लड़के ही रहेंगे।	Boys will be boys.
मैं कुछ कर सकता हूँ क्या?	Can I do anything?
आप बाहर नहीं गए थें क्या?	Didn't you go out?
तुम बाहर नहीं गए थे क्या?	Didn't you go out?
तू बाहर नहीं गया था क्या?	Didn't you go out?
क्या तुम्हे मुझपर यकीन है?	Do you believe me?
क्या तुम मुझपर यकीन करते हो?	Do you believe me?
क्या तुम मेरा यकीन करते हो?	Do you believe me?
उसे धोका मत दो।	Don't deceive him.
वह चिल्लाने लगा।	He began to shout.
वह मुझसे मिलने आया था।	He came to see me.
वह नौकरानी रखता है।	He employs a maid.
वह किसी नौकरी के पीछे पड़ा है।	He is after a job.
वह अब चल रहा है।	He is walking now.
उसने विदेश में पढ़ाई करी थी।	He studied abroad.
वह देशद्रोही बन गया।	He turned traitor.
वह जाचुका है।	He's already left.
मैं गाड़ी चला सकता हूँ।	I can drive a car.
मैं पूरी रात रोई।	I cried all night.
मुझे नींद आ गई।	I got very sleepy.
मेरे सिर में दर्द हो रहा है।	I have a headache.
मुझे सिरदर्द हो रहा है।	I have a headache.
मेरे पास कुछ पैसे हैं।	I have some money.
मेरी उससे मुलाकात नहीं हुई है।	I haven't met him.
मैं संगीत सुनता हूँ।	I listen to music.
मैंने उसे दौड़ते हुए देखा।	I saw him running.
मैंने उसे भागते हुए देखा।	I saw him running.
मैं उससे सच्चा प्यार करता था।	I truly loved her.
मैं बैंक में काम करता हूँ।	I work for a bank.
मैं खुश हो रहा हूँ।	I'm getting happy.
मैं विद्यार्थी नहीं हूँ।	I'm not a student.
मैं वैसा नहीं हूँ।	I'm not like that.
मुझे बहुत भूख लगी है।	I'm really hungry.
मेरी ग़लती नहीं है।	It's not my fault.
शुरू हो रहा है।	It's starting now.
मेरा बस्ता चोरी हो गया था।	My bag was stolen.
मेरी आँखें थक गईं हैं।	My eyes are tired.
आसपास कोई नहीं है।	No one's in sight.
हाथ ऊपर करो!	Put your hands up!
वह गाने लगी।	She began to sing.
उसकी नीली आँखें हैं।	She has blue eyes.
वह शादीशुदा नहीं है।	She isn't married.
मुझे सच्चाई बताओ।	Tell me the truth.
पृथ्वी घूमती है।	The earth rotates.
एक बार फिरसे कोशिश करो।	Try it once again.
एक बार और प्रयत्न करो।	Try it once again.
रेडियो को चालू करो।	Turn on the radio.
हम उसे नहीं जानते हैं।	We don't know her.
हम उसे नहीं जानते हैं।	We don't know him.
हमारे पास खुशखबर है।	We have good news.
खुशी क्या होती है?	What is happiness?
सुख क्या होता है?	What is happiness?
आपका नाम क्या है?	What is your name?
मुश्किल क्या है?	What's the matter?
आप कहाँ रहते हैं?	Where do you live?
तुम कहाँ रहते हो?	Where do you live?
तू कहाँ रहता है?	Where do you live?
तुम कहाँ रहती हो?	Where do you live?
तू कहाँ रहती है?	Where do you live?
वह किताब कहाँ है?	Where is the book?
समुद्र तट कहां है?	Where's the beach?
यह पाय किसने बनाई है?	Who made this pie?
हाँ। यह सही है।	Yes. That's right.
तुम्हें जाना होगा।	You have to leave.
तुम आज बिज़ी हो क्या?	Are you busy today?
तुम्हारे पास आज समय है क्या?	Are you busy today?
हम बात कर सकते हैं क्या?	Can we have a talk?
हमारे साथ आओ।	Come along with us.
तुम अच्छे से सोये क्या?	Did you sleep well?
तुम्हें मैं याद हूँ क्या?	Do you remember me?
उम्मीद मत छोड़ो।	Don't give up hope.
पत्थर मत फेंको।	Don't throw stones.
उसे सब पसंद करते हैं।	Everyone likes her.
उसे सब पसंद करते हैं।	Everyone likes him.
तेरी अकल घास चरने गई है क्या?	Have you gone nuts?
उसने गहरी साँस ली।	He breathed deeply.
उसने अपनी आँखें बंद करीं।	He closed his eyes.
वह रोया और और रोया।	He cried and cried.
वह साधा आदमी है।	He is a simple man.
वह ज़रूर आएगा।	He is sure to come.
वह मेरा चचेरा भाई नहीं है।	He isn't my cousin.
वह मेरा ममेरा भाई नहीं है।	He isn't my cousin.
उसने अपनी बारी का इंतेज़ार किया।	He waited his turn.
वह बैंक में काम करता है।	He works at a bank.
वह अच्छा इनसान है।	He's a good person.
मैं अपनी ग़लती मानता हूँ।	I admit my mistake.
मैं अंग्रेज़ी पढ़ सकता हूँ।	I can read English.
मैं अंग्रेज़ी पढ़ सकती हूँ।	I can read English.
मुझे विश्वास नहीं होता!	I can't believe it!
मैंने उसके बाहर जाने की आवाज़ सुनी।	I heard him go out.
मुझे उसका पता पता है।	I know her address.
मुझे उसका पता पता है।	I know his address.
मैं उन औरतों को जानता हूँ।	I know those women.
मैं तुम्हारे पिताजी को जानता हूँ।	I know your father.
मुझे वह अच्छा सा लगता है।	I sort of like him.
मुझे अभी भी नहीं पता।	I still don't know.
मैं १९६० में पैदा हुआ था।	I was born in 1960.
मैं १९७९ में पैदा हुआ था।	I was born in 1979.
मैं टीवी देखता हूँ।	I watch television.
मैंने पूरी रात काम किया।	I worked all night.
मैंने रातभर काम किया।	I worked all night.
बाद में मिलेंगे।	I'll see you later.
फिर मिलेंगे।	I'll see you later.
मैं तुम्हारे जितना लम्बा हूँ।	I'm as tall as you.
मैं अभी आता हूँ।	I'm coming at once.
क्या यह किताब तुम्हारी है?	Is this book yours?
अभी से रात हो गई है।	It is already dark.
बरफ़ जैसा दिखता है।	It looks like snow.
बरफ़ गिरनी शुरू गो गई।	It started to snow.
वो मजेदार था I	It was sort of fun.
मेरा है, उसका नहीं।	It's mine, not his.
मेरी है, उसकी नहीं।	It's mine, not his.
बहुत महंगा है!	It's too expensive!
बहुत महंगी है!	It's too expensive!
यहाँ बहुत गरम है।	It's very hot here.
यह मुझे संभालने दो।	Let me handle this.
रेलगाड़ी से चलते हैं।	Let's take a train.
मेरी गाड़ी टोयोटा है।	My car is a Toyota.
मेरा परिवार छोटा है।	My family is small.
कोई मेरी मदद नहीं कर सकता।	No one can help me.
वह बहुत सुंदर है।	She is very pretty.
वह खुशी से उछल पड़ी।	She leaped for joy.
उसने खुशी से मुस्कुराया।	She smiled happily.
वह डॉक्टर नहीं है।	She's not a doctor.
मुझे उस आदमी से चिढ़ आती है।	That guy annoys me.
बॅटर आऊट हो गया था।	The batter was out.
कौआ उड़ गया।	The crow flew away.
बिजली चली गई।	The power went out.
ये कुत्ते बड़े हैं।	These dogs are big.
यह मेरी का कुत्ता है।	This is Mary's dog.
उसकी कहानी सच्ची थी क्या?	Was his story true?
हम जंग के ख़िलाफ़ हैं।	We are against war.
हम युद्ध का विरोध करते हैं।	We are against war.
हमे स्केटिंग करके मज़ा आया।	We enjoyed skating.
हम जल्दी में थे।	We were in a hurry.
हम बहुत थक चुके थे।	We were very tired.
हम अच्छे दोस्त हैं।	We're good friends.
कितना बड़ा कद्दू है!	What a big pumpkin!
मुश्किल क्या है?	What's the problem?
शुरू कब होता है?	When does it begin?
बच्चे कहाँ गए?	Where are the kids?
समुद्र तट कहां है?	Where is the beach?
तुम्हारा कुत्ता कौनसा है?	Which dog is yours?
गुलदान को किसने तोड़ दिया?	Who broke the vase?
यह केक किसने बनाया है?	Who made this cake?
गाड़ी कौन चला रहा है?	Who's at the wheel?
यह किसकी किताब है?	Whose book is this?
तुम मेरी कलम इस्तेमाल कर सकते हो।	You may use my pen.
मेरे सवालों का जवाब दो।	Answer my questions.
वे जिमखाने में हैं क्या?	Are they in the gym?
तुम्हें गाड़ी चलाना आता है क्या?	Can you drive a car?
तुम गाड़ी चला सकते हो क्या?	Can you drive a car?
यहाँ हस्ताक्षर कर सकते हैं क्या?	Could you sign here?
उसे सब पसंद करते हैं।	Everybody likes her.
उसे सब पसंद करते हैं।	Everybody likes him.
माफ़ कीजिएगा, मैं खो गई हूँ।	Excuse me, I'm lost.
उसने मेरे लिए टेक्सी बुलवाई।	He called me a taxi.
उसे बहुत अकेलापन महसूस हुआ।	He felt very lonely.
वह मेरे पड़ोस में रहता है।	He lives next to me.
वह बहुत थका-हारा सा लगता है।	He looks very tired.
वह दिखने में बहुत अमीर लगता है।	He seems to be rich.
वह जल्द ही ठीक हो जाएगा।	He'll get well soon.
उसकी हालत बुरी है।	He's in a bad state.
और स्वाद कैसा है?	How about the taste?
तुमने कैसे बनाया?	How did you make it?
मैं भारत से नहीं हूँ।	I am not from India.
मैं किताब पढ़ रही हूँ।	I am reading a book.
मैंने पुरानी गाड़ी खरीदी।	I bought an old car.
मैं अंग्रेज़ी पढ़ा सकता हूँ।	I can teach English.
मैं गाता चला गया।	I continued singing.
मैं समझा नहीं।	I do not understand.
मुझे गर्मी का मौसम पसंद नहीं है।	I don't like summer.
मैं उससे पूछना भूल गया।	I forgot to ask him.
मुझे जोखिम लेना पसंद नहीं है।	I hate taking risks.
मैंने अभी तक नहीं खाया है।	I haven't eaten yet.
मैं दोनो को जानता था।	I know both of them.
मुझे पता है कि वह चीज़ क्या है।	I know what that is.
मैंने तुम्हे बताने की कोशिश करी थी।	I tried to tell you.
मैं उससे शादी करना चाहता हूँ।	I want to marry her.
मैं चाहता था कि वह जीत जाए।	I wanted her to win.
मुझे शहर का नक्शा चाहिए।	I'd like a city map.
मैं उसे देखना चाहूँगा।	I'd like to see her.
मैं उससे मिलना चाहूँगा।	I'd like to see her.
मैं दस बजे वापस आऊँगा।	I'll be back at ten.
मैं शराब लाता हूँ।	I'll bring the wine.
मैं शराब लाऊँगा।	I'll bring the wine.
मैं तुम्हें खुश करूँगा।	I'll make you happy.
मैंने फ़ोन कर लिया है।	I've already called.
मेरी टिकट खो गई है।	I've lost my ticket.
चलो बेसबॉल खेलतें हैं।	Let's play baseball!
मुझे स्याही से ही लिखना होगा?	Must I write in ink?
मेरे परिवार को टॉम पसंद था।	My family loved Tom.
मेरे पैसे चोरी हो गए।	My money was stolen.
मेरी बहन के पास नौकरी है।	My sister has a job.
वह काम करती रही।	She kept on working.
उसने मेरी कमीज़ खींची।	She pulled my shirt.
वह बाघ नहीं है।	That is not a tiger.
वह मेरी ग़लती थी।	That was my mistake.
आसमान साफ़ है।	The skies are clear.
पेड़ हरे हैं।	The trees are green.
ये हमारी किताबें हैं।	These are our books.
यह वही चीज़ है जिसकी मुझे ज़रूरत है।	This is what I need.
ज़बान सम्भाल के बात करो।	Watch your language.
हम अच्छे दोस्त हैं।	We are good friends.
हमें टैक्स भरना पड़ेगा।	We must pay the tax.
तुमने क्या जवाब दिया?	What did you answer?
इस डब्बे में क्या है?	What is in this box?
तुम क्या कर रहे थे?	What were you doing?
तुम कहाँ जा रहे हो?	Where are you going?
आप कहाँ जा रहे हैं?	Where are you going?
हवाई अड्डा कहाँ पर है?	Where's the airport?
तुम्हारी किताब कौनसी है?	Which book is yours?
तुम्हारे टीचर कौन हैं?	Who is your teacher?
तुम क्यों नहीं आए?	Why didn't you come?
तुम हमारे साथ आओगे क्या?	Will you go with us?
सर्दी आ रही है।	Winter is coming on.
तुम फिरसे चालू हो गए।	You are at it again.
तुम उसपर भरोसा कर सकते हो।	You may rely on him.
तुम्हे मुझे माफ़ करना होगा।	You must forgive me.
आपको मुझे क्षमा करना होगा।	You must forgive me.
तुम्हें मन लगाकर पढ़ना होगा।	You must study hard.
तुमने मेरी जान बचाली।	You're a life saver.
मैंने तुम्हें बताया नहीं था?	Didn't I tell you so?
तुम्हारे पास पेनसिल है क्या?	Do you have a pencil?
तुम टोक्यो में रहते हो क्या?	Do you live in Tokyo?
क्या आप अंग्रेज़ी बोलते हैं?	Do you speak English?
अपनी किताब मत खोलो।	Don't open your book.
मेरी चिंता मत करो।	Don't worry about me.
हमारी चिंता मत करो।	Don't worry about us.
मछलियाँ समुंदर में रहतीं हैं।	Fish live in the sea.
उसको अपने-आप जाकर बताओ।	Go tell him yourself.
आप विदेश गए हुए हैं क्या?	Have you been abroad?
उसको मेरी कामयाबी से जलन थी।	He envied my success.
वह मुझपर गुस्सा हो गया।	He got angry with me.
वह भारत गया हुआ है।	He has been to India.
वह तुमसे नाराज़ है।	He is angry with you.
उसको खुश करना बहुत मुश्किल है।	He is hard to please.
उसकी हालत बुरी है।	He is in poor health.
उसने मुझे दो किताबें उधार दीं।	He lent me two books.
उसने कोई बहाना बना लिया।	He made up an excuse.
उसने पैसों के लिए शादी की।	He married for money.
उसने एक सुंदर लड़की को देखा।	He saw a pretty girl.
वह कामयाब होना चाहता था।	He wanted to succeed.
तुम्हारी नौकरी कैसी चल रही है?	How's your job going?
मैं इस योजना से सहमत हूँ।	I agree to this plan.
मुझे यहाँ पर अजनबी के जैसा महसूस होता है।	I am a stranger here.
मैं तुमपर भरोसा कर रहा हूँ।	I am counting on you.
मैं सेव खा रहा हूँ ।	I am eating an apple.
मैं सेव खा रही हूँ ।	I am eating an apple.
मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।	I don't mind waiting.
मुझे लगता है वह आएगा।	I expect him to come.
मुझे उल्टी आ रही है।	I feel like vomiting.
मेरे पास कुछ दोस्त हैं।	I have a few friends.
मुझे पेट में दर्द हो रहा है।	I have a stomachache.
मुझे पीठ की तकलीफ है I	I have back problems.
मैं क्योटो गया हुआ हूँ।	I have been to Kyoto.
मुझे ज़ुकाम हो गया है।	I have caught a cold.
मैंने अपनी ऊँगली काट ली।	I just cut my finger.
मुझे पता है उसने क्यों किया था।	I know why he did it.
मैं बड़े शहर में रहता हूँ।	I live in a big city.
मैं बेहोशी में चला गया।	I lost consciousness.
मैं बेहोश हो गया।	I lost consciousness.
मैंने तो मज़ाक के तौर पर कहा था।	I meant it as a joke.
मैंने तो मज़ाक समझकर बोला था।	I meant it as a joke.
मैं कल मेरी से मिला था।	I met Mary yesterday.
मेरे ख़याल से तुम सही हो।	I think you're right.
मुझे अपने पैसे वापस चाहिए।	I want my money back.
मैं तुम्हारे साथ आऊँगा।	I will come with you.
मैं मानता हूँ कि मैं ग़लत था।	I'll admit I'm wrong.
मैं कभी वापस नहीं आऊँगा।	I'll never come back.
मुझे मछली से एलर्जी है।	I'm allergic to fish.
मेरा चश्मा खो गया है।	I've lost my glasses.
मेरे चश्मे खो गए हैं।	I've lost my glasses.
मैं फ़ैसला कर चुका हूँ।	I've made a decision.
वह किताब पढ़ रहा है क्या?	Is he reading a book?
रविवार को खुला होता है क्या?	Is it open on Sunday?
फ़ोन बज रहा है क्या?	Is the phone ringing?
ग्यारह बज चुके हैं।	It is already eleven.
यह मुफ़्त का है।	It is free of charge.
यह जीत तो बहुत आसान थी।	It's an easy victory.
मुझे तुम्हें घर लेजाने दो।	Let me take you home.
लिंकन की मौत १८६५ में हुई थी।	Lincoln died in 1865.
जल्दी कीजिए।	Please do it quickly.
दरवाज़े को बंद कर दीजिए।	Please shut the door.
उसने उसे एक घड़ी दी।	She gave him a watch.
उसने लाल रंग के कपड़े पहने थे।	She wore a red dress.
उसने लाल ड्रेस पहनी थी।	She wore a red dress.
वह उसकी ख़ासियत है।	That's his specialty.
इस घर में भूत है।	The house is haunted.
घर आग में लिपटा हुआ था।	The house was ablaze.
उस आदमी ने मेरी ओर देखा।	The man looked at me.
चादरें गीलीं लगतीं हैं।	The sheets feel damp.
पानी का पाइप फट गया।	The water pipe burst.
ये किताबें मेरीं हैं।	These books are mine.
यह जूते उसके हैं।	These shoes are hers.
वे ज़ू गए थे।	They went to the zoo.
यह रेशम जैसा लगता है।	This feels like silk.
यह घड़ी टूटी हुई है।	This watch is broken.
समय तेज़ी से बीतता है।	Time goes by quickly.
अपने हाथ अच्छे से धोओ।	Wash your hands well.
आज कौनसा वार है?	What day is it today?
गैलीलियो ने क्या देखा?	What did Galileo see?
गैलीलियो को क्या दिखा?	What did Galileo see?
इसमें क्या है?	What does it contain?
तुमने उसे कब देखा था?	When did you see her?
तुम कब लौट कर आओगे?	When will you return?
